문제,해설,정답
"아래 신문기사와 그래프에 가장 적합한 신문기사 제목을 유추하면?  ""은행권 대출 규제가 강화되면서 카드·보험사·저축은행·상호금융 등2금융권의 대출 증가세가 가팔라지고 있다.은행에서 원하는 만큼 대출을 받지 못한 실수요자들이2금융권으로 몰렸기 때문이다.""○○경제신문   ①민간 경제‘유동성 함정’에 빠지나 ②가계 대출 증가세‘부의 효과’가 발생하나 ③금융당국,가계대출‘풍선효과’차단에 나서나 ④‘피구 효과’우려로 은행권 대출 규제 완화되나 ⑤제2금융권 부실 대출에 따른‘뱅크런’우려 나타나나 ","기사의 내용을 살펴보면,은행권 대출 증가세가 가팔라지자 금융당국이은행권 대출을 규제하였다. 그러자2금융권의 대출 증가세가 상승하는 것을 알 수 있다.이를 통해 풍선효과와 연관된 제목을 선택해야 한다. 풍선효과란 풍선의 한 곳을 누르면 다른 곳이 불거져 나오는 것처럼 문제 하나가 해결되면 또 다른 문제가 생겨나는 현상이다.특정 지역의 집값을 잡기 위해 규제를 강화하면 수요가 다른 지역으로 몰려 집값이 오르는 현상도 이에 속한다. ",③
"아래 대화의 빈칸(가)에 들어갈 수 있는 내용으로 가장 적절한 것은?(단,환율 변동 이외의 다른 조건은 고려하지 않는다.)  ◾갑:달러화 대비 원화 환율이 어제보다20원이나 올랐습니다.벌써1주일째 상승세가 계속되고 있습니다. ◾을:이러한 환율 변동 추세가 지속한다면(가)  ①한국 기업의 달러화 표시 외채 상환 부담이 증가할 것입니다. ②미국 시장에서 한국산 제품의 가격 경쟁력이 악화할 것입니다. ③한국을 여행하려는 미국인의 여행 경비 부담이 증가할 것입니다. ④미국으로부터 원재료를 수입하는 한국 기업의 부담이 감소할 것입니다. ⑤자녀를 미국으로 유학 보낸 한국 학부모들의 학비 부담이 감소할 것입니다. ","달러화 대비 원화 환율이 상승한다는 것은 달러화 가치는 상대적으로 상승하고 원화 가치는 상대적으로 하락한다는 의미다. 달러화 대비 원화 환율이 상승하면 달러 표시 외채의 원화 환산액이 증가하므로 한국 기업의 외채 상환 부담이 증가한다.반면,한국이 미국으로 수출하는 제품의 달러화 표시 가격은 하락하므로 미국 시장에서 한국산 제품의 가격 경쟁력이 높아진다. 미국에 유학 중인 자녀를 둔 한국 학부모의 학비 부담은 증가할 것이고 미국으로부터 원재료를 수입하는 한국 기업의 부담은 증가한다.한국을 여행하려는 미국인은 달러화 가치 상승으로 여행 경비 부담이 감소한다. ",①
지문에서(가)에 들어갈 수 있는 내용으로 옳지않은것은?  A재와B재는 서로 보완 관계에 있고A재와C재는 서로 대체 관계에 있다.이때A재의 공급이 증가하면(가).  ①A재의 가격이 하락한다. ②B재의 가격이 하락한다. ③B재의 거래량이 증가한다. ④C재의 거래량이 감소한다. ⑤C재의 판매 수입이 감소한다. ,"재화 사이의 관계에 따라 대체재와 보완재로 나눌 수 있다.대체재는 한 재화의 가격이 하락하면 다른 재화의 수요가 감소하는 경우이다.반면,한 재화의 가격이 하락하면 다른 재화의 수요가 증가하면 보완재라 한다.문제의 지문에서A재의 공급이 증가하면A재의 가격은 하락한다.따라서A재의 보완재인B재의 수요는 증가하여 거래량은 증가하고 가격은 상승한다. C재는A재의 대체재이므로 수요는 감소한다.이에 따라 거래량은 감소하고 가격은 하락한다.따라서C재의 판매 수입(가격×거래량)역시 감소한다.정답②",
아래와 같은 경기변동의 양상이 나타날 때 필요한 정책은?  ◆지난해보다 실업률 급격히 상승 ◆국내총생산(GDP)은 지난해보다 감소 ◆소비자물가지수가 지난해보다 하락해 마이너스를 기록  ①세율을 인상하고 통화량을 늘린다. ②통화량을 늘리고 이자율을 높인다. ③이자율을 낮추고 세율을 인하한다. ④정부 지출을 줄이고 통화량을 줄인다. ⑤정부 지출을 줄이고 이자율을 낮춘다. ,"실업률이 상승하고 국내총생산이 지난해보다 감소,소비자물가지수가 하락하는 등 경기침체가 발생했다.이에 따라 정부나 중앙은행은 확장 재정·통화정책을 시행하여 경기침체를 방어하려 할 것이다.정부는 각종 세금을 인하하거나 정부의 재정지출을 늘리는 등 총수요(AD)를 자극하는 정책을 시행한다.중앙은행은 기준금리·재할인율 인하,공개시장에서 국공채 매입 등의 정책을 통해 이자율을 낮추고 통화량을 늘리는 정책을 시행한다.정답③",
국민연금의‘이것’은1998년60%였다.하지만2028년 이후는40%까지 내려갈 전망이다.‘이것’은 연금액이 개인의 생애 평균소득에서 차지하는 비율로 연금 가입 기간 중 평균소득을 현재 가치로 환산한 금액 대비 연금 지급액이다.‘이것’은 무엇인가?  ①한계임금②만기환급률③한계대체율④전환소득율⑤소득대체율 ,연금 가입 기간 중 평균 소득을 현재 가치로 환산한 금액 대비 연금액이 개인의 생애 평균 소득의 몇%가 되는지를 보여 주는 비율을 소득대체율이라 한다.한국은 은퇴 후 소득대체율이47%로 경제협력개발기구(OECD)권고치보다 최대28%포인트 낮은 것으로 조사됐다.공적 연금이 아니라 사적 연금에서OECD국가들과 격차가 크기 때문이라는 분석이다.정답⑤,
"기존 경영진의 경영권을 보호하기 위한 제도를 아래에서 고르면?  ㄱ.황금낙하산ㄴ.액면분할 ㄷ.백기사ㄹ.그린메일  ①ㄱ,ㄴ②ㄱ,ㄷ③ㄴ,ㄷ④ㄴ,ㄹ⑤ㄷ,ㄹ ",황금낙하산은 인수 대상 기업의 경영진이 인수로 인해 임기 전에 사임하게 될 경우를 대비해 거액의 퇴직금과 일정 기간 동안의 보수 및 보너스 등을 받을 권리를 사전에 고용계약에 기재해 안정성을 확보하고 동시에 기업의 인수 비용을 높이는 방법이다. 백기사는 적대적 공격을 받은 기업이 자금력이 풍부한 우호 세력을 끌어들여 경영권을 방어하는 수단이다. 그린메일이란 투기성 자본이 경영권이 취약한 기업의 지분을 매집한 뒤 해당 기업의 경영진을 교체하겠다고 위협하거나 대주주에게 인수·합병(M&A)포기의 대가로 높은 가격에 지분을 되사줄 것을 요구하는 행위다.대주주에게 초록색인 미국 달러화를 요구하는 편지를 보낸다는 점에서 그린메일이라는 이름이 붙여졌다.,②
"아래 표는 재화의 특성을 경합성과 배제성의 유무에 따라 구분한 것이다. A∼D에 대한 설명으로 옳은 것을 고르면?   ㄱ.일반적인 공산품은A에 해당한다. ㄴ.막히는 무료 도로는B에 해당한다. ㄷ.공유자원은C에 해당한다. ㄹ.유료 케이블TV서비스는D에 해당한다.  ① ㄱ,ㄴ   ② ㄱ,ㄷ   ③ ㄴ,ㄷ   ④ ㄴ,ㄹ   ⑤ ㄷ,ㄹ ","경합성이란 한 사람이 더 많이 소비하면 다른 사람의 소비가 줄어드는 재화의 특성을 말한다.배제성이란 대가를 지불하지 않은 사람을 사용에서 제외할 수 있는 속성.대부분 상품이나 용역 등이 배제성을 지닌다. 경합성과 배제성을 가진A는 우리가 일상에서 소비하는 사과,빵,라면 등과 같은 재화다.막히는 무료 도로는 배제성이 없고,경합성을 가지므로C에 해당한다. 공유자원은 배제성은 없지만,경합성을 가진 것이 특징이다.소유권이 명확하게 규정되어 있지 않은 마을 공동목초지가 대표적이다.비배제성과 경합성 때문에 해당 자원이 과다하게 사용되어 고갈되는 공유지(공유자원)의 비극이 발생할 수 있다.",②
"그림은 생애주기에 따른 소비와 소득 곡선을 나타낸다.이에 대한 설명으로 옳은 것을 고르면?(단,소득=소비+저축이다.)    ㄱ. a점에서 소비 누적액이 가장 높다. ㄴ.소비와 달리 소득은 지속적으로 감소한다. ㄷ. A∼C모두 저축에 해당한다. ㄹ. A+C＜B의 경우 안정적인 노후 생활을 보낼 수 있다.  ① ㄱ,ㄴ② ㄱ,ㄷ③ ㄴ,ㄷ④ ㄴ,ㄹ⑤ ㄷ,ㄹ ","소비 누적액은 그림의 소비가 끝나는 지점에서 가장 높다.그림에서 소비는 지속적으로 증가하고 있고,소득은 증가하다가 감소하는 모습을 보인다. A와C는 소득보다 소비가 많은 음(-)의 저축이고, B는 소비보다 소득이 많은 양(+)의 저축이다. A+C＜B의 경우 양(+)의 소득으로B가 커질수록 안정적인 노후 생활을 보낼 수 있다.정답⑤",
"어떤 재화 수요의 가격탄력성이 완전탄력적이라고 할 때,관련한 설명 중 옳은 것은?  ①수요곡선은 수직선이다. ②공급이 증가하면 가격이 하락한다. ③공급이 감소해도 재화의 거래량은 감소하지 않는다. ④수요자에게 세금을 부과하면 세금 일부를 수요자가 부담한다. ⑤공급자에게 세금을 부과하면 공급자가 세금을 모두 부담한다. ",수요의 가격탄력성이 완전탄력적 혹은 무한대(∞)면 재화의 수요곡선은 수평선이다.수요곡선이 수평선이면 재화의 공급이 증가해도 가격은 변동하지 않고 오직 거래량만 증가한다.,⑤
"총수요-총공급 이론에 대한 설명 중 옳은 것을 고르면?  ㄱ.국제유가 상승은 총수요 곡선을 좌측으로 이동시킨다. ㄴ.신기술 개발은 총공급 곡선을 우측으로 이동시킨다. ㄷ.정부지출 감소는 총공급 곡선을 좌측으로 이동시킨다. ㄹ.세금 감면은 총수요 곡선을 우측으로 이동시킨다.  ① ㄱ,ㄴ   ② ㄱ,ㄷ   ③ ㄴ,ㄷ   ④ ㄴ,ㄹ   ⑤ ㄷ,ㄹ ","총수요는 국내에서 생산된 최종 생산물에 대한 수요로 가계,기업,정부,외국이 구입하고자 하는 재화의 양이다.각각의 물가 수준에서 실질GDP에 대한 수요의 크기를 나타낸 곡선이 총수요 곡선이다.물가 수준이 주어져 있을 때 총수요의 구성 요소인 소비,투자,정부 지출,수출,수입 등이 변화하면 총수요 곡선이 이동한다.정부의 세금 감면은 가계 및 기업의 소비와 투자 증가를 이끌어 총수요 곡선이 오른쪽으로 이동하는 요인이다.총공급 곡선이란 각각의 물가 수준에서 기업 전체가 생산하는 재화의 공급량을 나타낸 곡선이다.총공급 곡선의 이동 요인으로는 생산 요소의 가격 변화,기술 수준 등이 있다.국제 유가의 상승은 기업의 비용 인상을 이끌어 총공급 곡선이 왼쪽으로 이동하는 요인이다.정답④",
수요곡선에 미치는 영향이다른하나는?  ①보완재 공급 감소 ②소비자의 수 증가 ③미래 가격 상승 예상 ④대체재의 가격 상승 ⑤재화에 대한 소비자의 선호 증가 ,"수요곡선에 영향을 미치는 요인은 다양하다.소득 수준,다른 재화(대체재 혹은 보완재)의 가격,광고,소비자의 선호 등이 있다.보완재 공급 감소는 보완재의 가격 상승을 이끌어 보완재와 관련한 해당 재화의 수요 감소로 이어진다.미래 가격 상승이 예상되면 해당 재화의 수요 자체가 증가한다.소비자의 수 증가,대체재의 가격 상승,재화에 대한 소비자 선호 증가,미래 가격 상승 예상 모두 수요가 증가하는 요인이다.정답①",
재화A의 공급곡선이 완전 탄력적이고 수요곡선은 완전 비탄력적이라고 가정하자.정부가 종량세100원을 부과했을 때 조세 귀착은?  ①소비자가100원을 모두 부담한다. ②생산자가100원을 모두 부담한다. ③생산자와 소비자가 각각50원씩 부담한다. ④생산자와 소비자 아무도 부담하지 않는다. ⑤알 수 없다.  문제에서 재화X에 대한 공급곡선은 완전히 탄력적이고 수요곡선은 비탄력적인 극단적 조세부담의 경우로 소비자가 종량세100원 모두를 부담한다.정답①,"현실에서 조세의무는 법적으로 정해진 부담자(납세의무자)와 실질적인 부담자(담세자)가 다른 경우가 많다.즉,세금 부과로 높아진 가격 때문에 실제 조세부담이 가격조정 과정을 통해 직·간접적으로 타인에게 전가되는 경우가 있는데 이를 조세의 전가라고 한다. 조세 전가를 통해 조세의 실질적인 부담이 담세자에게 귀속되는 것을 조세 귀착이라 한다.일반적으로 생산자와 소비자의 상대적인 조세 부담의 크기는 탄력성이 더 큰 주체의 부담이 작다.",
미국 중앙은행(Fed)의 연방준비제도이사회가 개최하는 경제정책회의‘연방공개시장위원회’를 가리키는 영어 약자는 무엇인가?  ①CEPA②BRICS③FOMC④APEC⑤NAFTA ,"미국 연방공개시장위원회(FOMC: Federal Open Market Committee)는 미국의 중앙은행이자12개 지역 연방준비은행을 총괄하는 기구인 연방준비제도이사회(FRB)의 산하기구로 통화, 금융 정책을 수립하는 곳이다.연방준비제도(Fed)가 한국은행이라면,FOMC는 한국은행의 금융통화위원회에 해당한다. 1년에8차례의 회의를 열며 여기서 경제 정세나 경기 전망 검토 외에 통화 공급량이나 단기금리,연방기금금리(페더럴 펀드 레이트)의 목표권을 설정한다.",③
